name,author,url,thumbUrl
Radiant Pulchritude,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Radiant_Pulchritude-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Radiant_Pulchritude-Flawed_Koncepts.jpg
Remarkable Tenacity,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Remarkable_Tenacity-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Remarkable_Tenacity-Flawed_Koncepts.jpg
Respectful Grace,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Respectful_Grace-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Respectful_Grace-Flawed_Koncepts.jpg
Selfless Philanthropy,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Selfless_Philanthropy-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Selfless_Philanthropy-Flawed_Koncepts.jpg
Sheer Rapture,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Sheer_Rapture-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Sheer_Rapture-Flawed_Koncepts.jpg
Sincere Consolation,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Sincere_Consolation-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Sincere_Consolation-Flawed_Koncepts.jpg
Skillful Prudence,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Skillful_Prudence-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Skillful_Prudence-Flawed_Koncepts.jpg
Solid Assurance,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Solid_Assurance-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Solid_Assurance-Flawed_Koncepts.jpg
Steadfast Loyalty,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Steadfast_Loyalty-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Steadfast_Loyalty-Flawed_Koncepts.jpg
Steady Certitude,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Steady_Certitude-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Steady_Certitude-Flawed_Koncepts.jpg
Strong Conviction,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Strong_Conviction-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Strong_Conviction-Flawed_Koncepts.jpg
Thoughtful Regard,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Thoughtful_Regard-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Thoughtful_Regard-Flawed_Koncepts.jpg
True Devotion,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/True_Devotion-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_True_Devotion-Flawed_Koncepts.jpg
Unwavering Valor,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Unwavering_Valor-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Unwavering_Valor-Flawed_Koncepts.jpg
Valuable Scholarship,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Valuable_Scholarship-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Valuable_Scholarship-Flawed_Koncepts.jpg
Warm Accord,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Warm_Accord-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Warm_Accord-Flawed_Koncepts.jpg
