name,author,url,thumbUrl
Two Pink Candyes,Mong Bui,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Two_Pink_Candyes-Mong_Bui.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Two_Pink_Candyes-Mong_Bui.jpg
Two Strawberry Doughnuts with Sprinkles,Elena Koycheva,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Two_Strawberry_Doughnuts_with_Sprinkles-Elena_Koycheva.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Two_Strawberry_Doughnuts_with_Sprinkles-Elena_Koycheva.jpg
Untitled,Totally ImaGINAble Creations,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Untitled-Totally_ImaGINAble_Creations.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Untitled-Totally_ImaGINAble_Creations.jpg
Uvarovite,Uvarovite,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Uvarovite.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Uvarovite.jpg
White and Blue Light,Codioful,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/White_and_Blue_Light-Codioful.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_White_and_Blue_Light-Codioful.jpg
White Blue Red Round,Pawel Czerwinski,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/White_Blue_Red_Round-Pawel_Czerwinski.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_White_Blue_Red_Round-Pawel_Czerwinski.jpg
Wooden Sticks on Pink Surface,Elena Koycheva,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Wooden_Sticks_on_Pink_Surface-Elena_Koycheva.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Wooden_Sticks_on_Pink_Surface-Elena_Koycheva.jpg
Yellow Abstract,Pawel Czerwinski,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Yellow_Abstract-Pawel_Czerwinski.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Yellow_Abstract-Pawel_Czerwinski.jpg
Yellow and Blue,Codioful,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Yellow_and_Blue-Codioful.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Yellow_and_Blue-Codioful.jpg
Zultanite,Zultanite,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Zultanite.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Zultanite.jpg
